plantationName,count,stmId,locationDescription,district
"Libanon",10,stm-00844,"Boven-Saramacca","Divisie Saramacca"
"Libanon",10,stm-00845,"Boven-Saramacca","Divisie Saramacca"
"Libanon",10,stm-01113,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"Libanon",10,stm-01302,"Pararakweg","Divisie Para"
"Libanon",10,stm-01466,"Marechals Kreek","Divisie Boven-Suriname en Thorarica"
"Libanon",10,stm-01718,"Boven-Saramacca","Divisie Saramacca"
"Libanon",10,stm-01887,"Marechals Kreek","Divisie Boven-Suriname en Thorarica"
"Libanon",10,stm-02134,"Suriname","Divisie Boven-Suriname en Thorarica"
"Libanon",10,stm-02256,"Saramacca",""
"Libanon",10,stm-02276,"Jonkermans Kreek",""
"Aan Onoribo",6,stm-01297,"Pararakweg","Divisie Para"
"Aan Onoribo",6,stm-01304,"Pararakweg","Divisie Para"
"Aan Onoribo",6,stm-01307,"",""
"Aan Onoribo",6,stm-01310,"Pararakweg","Divisie Para"
"Aan Onoribo",6,stm-01315,"Para Kreek","Divisie Para"
"Aan Onoribo",6,stm-01322,"",""
"Charlottenburg",5,stm-00822,"Boven-Cottica","Divisie Matapplea"
"Charlottenburg",5,stm-00825,"Boven-Cottica","Divisie Matapplea"
"Charlottenburg",5,stm-01510,"",""
"Charlottenburg",5,stm-02150,"Coropina Kreek","Divisie Para"
"Charlottenburg",5,stm-02463,"Nickerierivier","Divisie Nickerie"
"Onverwacht",5,stm-00715,"Pararak Kreek",""
"Onverwacht",5,stm-00852,"Pad van Wanica",""
"Onverwacht",5,stm-00855,"Pad van Wanica",""
"Onverwacht",5,stm-00859,"Pad van Wanica",""
"Onverwacht",5,stm-02147,"Para Kreek","Divisie Para"
"Waterloo",5,stm-00706,"Tawayarie Kreek","Divisie Saramacca"
"Waterloo",5,stm-00744,"Nickerierivier","Divisie Nickerie"
"Waterloo",5,stm-00745,"Nickerierivier","Divisie Nickerie"
"Waterloo",5,stm-01643,"Nickerierivier","Divisie Nickerie"
"Waterloo",5,stm-02195,"Warappa Kreek","Divisie Beneden-Cottica"
"Welgelegen",5,stm-00578,"Beneden-Commewijne","Divisie Beneden-Commewijne"
"Welgelegen",5,stm-00922,"Atlantische kust","Divisie Nickerie"
"Welgelegen",5,stm-01097,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"Welgelegen",5,stm-01505,"Para Kreek","Divisie Para"
"Welgelegen",5,stm-01546,"Atlantische kust","Divisie Nickerie"
"Bigrar",4,stm-00524,"Suriname","Divisie Boven-Suriname en Thorarica"
"Bigrar",4,stm-00887,"Marechals Kreek",""
"Bigrar",4,stm-01443,"Marechals Kreek",""
"Bigrar",4,stm-02494,"Jonkermans Kreek","Divisie Boven-Suriname en Thorarica"
"Curacao",4,stm-01223,"Marechals Kreek","Divisie Boven-Suriname en Thorarica"
"Curacao",4,stm-01224,"Marechals Kreek","Divisie Boven-Suriname en Thorarica"
"Curacao",4,stm-01457,"Marechals Kreek","Divisie Boven-Suriname en Thorarica"
"Curacao",4,stm-01681,"Wanica Kreek","Divisie Saramacca"
"La Solitude",4,stm-00719,"Perica Kreek",""
"La Solitude",4,stm-00856,"Boven-Saramacca","Divisie Saramacca"
"La Solitude",4,stm-02024,"Boven-Saramacca","Divisie Saramacca"
"La Solitude",4,stm-02080,"Commetewane Kreek",""
"La Sonnette",4,stm-00860,"Boven-Saramacca","Divisie Saramacca"
"La Sonnette",4,stm-00867,"Boven-Saramacca","Divisie Saramacca"
"La Sonnette",4,stm-01999,"Boven-Saramacca","Divisie Saramacca"
"La Sonnette",4,stm-02515,"Saramacca","Divisie Saramacca"
"Maria's lust",4,stm-00831,"Tapoeripa Kreek","Divisie Matapplea"
"Maria's lust",4,stm-00870,"Boven-Saramacca","Divisie Saramacca"
"Maria's lust",4,stm-01704,"Boven-Saramacca","Divisie Saramacca"
"Maria's lust",4,stm-01928,"Boven-Saramacca","Divisie Saramacca"
"Mon Plaisir",4,stm-00542,"Suriname","Divisie Para"
"Mon Plaisir",4,stm-01162,"Boven-Commewijne",""
"Mon Plaisir",4,stm-01705,"Wanica Kreek","Divisie Saramacca"
"Mon Plaisir",4,stm-02283,"Orelana Kreek",""
"Nieuwzorg",4,stm-01391,"Pad van Wanica","Divisie Para"
"Nieuwzorg",4,stm-02067,"Commetewane Kreek","Divisie Boven-Commewijne"
"Nieuwzorg",4,stm-02161,"Marechals Kreek","Divisie Boven-Suriname en Thorarica"
"Nieuwzorg",4,stm-02279,"Jonkermans Kreek",""
"Smithfield",4,stm-00958,"Beneden-Saramacca","Divisie Saramacca"
"Smithfield",4,stm-00959,"Beneden-Saramacca","Divisie Saramacca"
"Smithfield",4,stm-01041,"Beneden-Saramacca","Divisie Saramacca"
"Smithfield",4,stm-02390,"Beneden-Saramacca",""
"Staf Aarons",4,stm-00756,"Warappa Kreek","Divisie Beneden-Cottica"
"Staf Aarons",4,stm-00840,"Boven-Saramacca","Divisie Saramacca"
"Staf Aarons",4,stm-00841,"Boven-Saramacca","Divisie Saramacca"
"Staf Aarons",4,stm-02007,"Boven-Saramacca","Divisie Saramacca"
"Toevlugt",4,stm-00784,"Mot Kreek","Divisie Boven-Cottica en Perica"
"Toevlugt",4,stm-01408,"Suriname","Divisie Boven-Suriname en Thorarica"
"Toevlugt",4,stm-02110,"Rijweg naar Kwatta","Divisie Para"
"Toevlugt",4,stm-02386,"Boven-Saramacca","Divisie Saramacca"
"Welbedacht",4,stm-01175,"",""
"Welbedacht",4,stm-01329,"Suriname","Divisie Boven-Suriname en Thorarica"
"Welbedacht",4,stm-02079,"Commetewane Kreek","Divisie Boven-Commewijne"
"Welbedacht",4,stm-02300,"Pad van Wanica",""
"Zorg en Hoop",4,stm-00667,"Matappica Kreek","Divisie Matapplea"
"Zorg en Hoop",4,stm-01361,"Pad van Wanica",""
"Zorg en Hoop",4,stm-02172,"Beneden-Commewijne","Divisie Beneden-Cottica"
"Zorg en Hoop",4,stm-02388,"Boven-Saramacca","Divisie Saramacca"
"Bergen op Zoom",3,stm-01901,"Suriname","Divisie Boven-Suriname en Thorarica"
"Bergen op Zoom",3,stm-02162,"Marechals Kreek","Divisie Boven-Suriname en Thorarica"
"Bergen op Zoom",3,stm-02447,"Boven-Commewijne",""
"Concordia",3,stm-01081,"Beneden-Saramacca","Divisie Saramacca"
"Concordia",3,stm-01167,"Boven-Commewijne","Divisie Boven-Commewijne"
"Concordia",3,stm-01294,"Para Kreek",""
"De Dageraad",3,stm-00802,"Mot Kreek",""
"De Dageraad",3,stm-01026,"Boven-Commewijne",""
"De Dageraad",3,stm-02472,"Commetewane Kreek","Divisie Boven-Commewijne"
"De Dankbaarheid",3,stm-00919,"Beneden-Saramacca","Divisie Saramacca"
"De Dankbaarheid",3,stm-01250,"Mot Kreek",""
"De Dankbaarheid",3,stm-01712,"Beneden-Saramacca","Divisie Saramacca"
"De Eendragt",3,stm-01217,"Boven-Cottica","Divisie Matapplea"
"De Eendragt",3,stm-01263,"Boven-Cottica","Divisie Matapplea"
"De Eendragt",3,stm-02285,"Cottica",""
"De Herstelling",3,stm-00682,"Warappa Kreek","Divisie Beneden-Cottica"
"De Herstelling",3,stm-01956,"Beneden-Saramacca","Divisie Saramacca"
"De Herstelling",3,stm-02210,"Cassewinicakreek","Divisie Boven-Commewijne"
"De Nieuwe Hoop",3,stm-00951,"Saramacca","Divisie Saramacca"
"De Nieuwe Hoop",3,stm-01507,"Para Kreek","Divisie Para"
"De Nieuwe Hoop",3,stm-01720,"Saramacca","Divisie Saramacca"
"De Vier Kinderen",3,stm-01184,"Boven-Commewijne","Divisie Boven-Commewijne"
"De Vier Kinderen",3,stm-01386,"",""
"De Vier Kinderen",3,stm-01491,"Coropina Kreek","Divisie Para"
"Eendracht",3,stm-00941,"Beneden-Saramacca","Divisie Saramacca"
"Eendracht",3,stm-01357,"Beneden-Saramacca","Divisie Saramacca"
"Eendracht",3,stm-02203,"Commetewane Kreek",""
"Groningen",3,stm-00830,"Tapoeripa Kreek","Divisie Matapplea"
"Groningen",3,stm-02245,"Beneden-Saramacca","Divisie Saramacca"
"Groningen",3,stm-02384,"Boven-Saramacca",""
"Hamburg",3,stm-00950,"Beneden-Saramacca","Divisie Saramacca"
"Hamburg",3,stm-01201,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"Hamburg",3,stm-01945,"Beneden-Saramacca","Divisie Saramacca"
"Hope",3,stm-00751,"Atlantische kust",""
"Hope",3,stm-01605,"Atlantische kust","District Coronie"
"Hope",3,stm-01655,"Atlantische kust",""
"Karelsburg",3,stm-01256,"",""
"Karelsburg",3,stm-01934,"Boven-Saramacca",""
"Karelsburg",3,stm-02184,"Wayamoe Kreek","Divisie Boven-Cottica en Perica"
"Lust en Rust",3,stm-00562,"Suriname",""
"Lust en Rust",3,stm-02126,"Suriname","Divisie Boven-Suriname en Thorarica"
"Lust en Rust",3,stm-02403,"Coropina Kreek","Divisie Para"
"Ma Retraite",3,stm-00546,"Para Kreek","Divisie Para"
"Ma Retraite",3,stm-02050,"Orelana Kreek",""
"Ma Retraite",3,stm-02144,"Booms Kreek","Divisie Para"
"Mijn Hoop",3,stm-01170,"Boven-Commewijne",""
"Mijn Hoop",3,stm-01489,"Coropina Kreek",""
"Mijn Hoop",3,stm-02260,"Boven-Commewijne",""
"Nijd en Spijt",3,stm-00553,"Beneden-Commewijne","Divisie Beneden-Commewijne"
"Nijd en Spijt",3,stm-01467,"Marechals Kreek","Divisie Boven-Suriname en Thorarica"
"Nijd en Spijt",3,stm-02277,"Jonkermans Kreek",""
"Onoribo",3,stm-01319,"Para Kreek","Divisie Para"
"Onoribo",3,stm-02151,"Pararak Kreek",""
"Onoribo",3,stm-02152,"Pararakweg",""
"Onverdacht",3,stm-00713,"",""
"Onverdacht",3,stm-02146,"Para Kreek","Divisie Para"
"Onverdacht",3,stm-02153,"Pararakweg",""
"Rustenburg",3,stm-01200,"Perica Kreek","Divisie Boven-Cottica en Perica"
"Rustenburg",3,stm-01219,"Boven-Commewijne",""
"Rustenburg",3,stm-01241,"Perica Kreek","Divisie Boven-Cottica en Perica"
"Vaderszorg",3,stm-00697,"Matappica Kreek","Divisie Para"
"Vaderszorg",3,stm-01369,"",""
"Vaderszorg",3,stm-01950,"Saramacca",""
"Voorzorg",3,stm-00779,"Mot Kreek","Divisie Boven-Cottica en Perica"
"Voorzorg",3,stm-01148,"Vredenburger Kreek","Divisie Boven-Cottica en Perica"
"Voorzorg",3,stm-02254,"Beneden-Saramacca","Divisie Saramacca"
"Weltevreden",3,stm-01938,"Beneden-Saramacca","Divisie Saramacca"
"Weltevreden",3,stm-02056,"Beneden-Commewijne","Divisie Beneden-Commewijne"
"Weltevreden",3,stm-02125,"Suriname","Divisie Boven-Suriname en Thorarica"
"Adrichem",2,stm-00597,"Matappica Kreek","Divisie Matapplea"
"Adrichem",2,stm-01856,"Suriname","Divisie Para"
"Berlijn",2,stm-00658,"Beneden-Commewijne","Divisie Beneden-Cottica"
"Berlijn",2,stm-01525,"Para Kreek","Divisie Para"
"Bleyenhoop",2,stm-02241,"Pad van Wanica",""
"Bleyenhoop",2,stm-02367,"Boven-Cottica",""
"Bremen",2,stm-02200,"Warappa Kreek","Divisie Beneden-Cottica"
"Bremen",2,stm-02315,"Suriname","Divisie Beneden-Cottica"
"Broedershoop",2,stm-00683,"Warappa Kreek","Divisie Beneden-Cottica"
"Broedershoop",2,stm-02280,"Wanica Kreek",""
"De Goede Hoop",2,stm-01423,"Suriname","Divisie Boven-Suriname en Thorarica"
"De Goede Hoop",2,stm-01962,"Beneden-Saramacca","Divisie Saramacca"
"De Goede Verwachting",2,stm-00716,"Mot Kreek","Divisie Boven-Cottica en Perica"
"De Goede Verwachting",2,stm-01388,"Wanica Kreek","Divisie Saramacca"
"De Hoop",2,stm-00642,"Suriname","Divisie Boven-Suriname en Thorarica"
"De Hoop",2,stm-02269,"Atlantische kust","Divisie Nickerie"
"De Hulp",2,stm-01144,"Vredenburger Kreek","Divisie Boven-Cottica en Perica"
"De Hulp",2,stm-02083,"Orelana Kreek","Divisie Beneden-Commewijne"
"De Resolutie",2,stm-02106,"Jonkermans Kreek","Divisie Beneden-Cottica"
"De Resolutie",2,stm-02316,"Suriname","Divisie Boven-Suriname en Thorarica"
"De Vier Gezusters",2,stm-01914,"Boven-Saramacca","Divisie Saramacca"
"De Vier Gezusters",2,stm-02063,"Orelana Kreek","Divisie Beneden-Commewijne"
"De Vrede",2,stm-01122,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"De Vrede",2,stm-01535,"Para Kreek","Divisie Para"
"De Zwarigheid",2,stm-01154,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"De Zwarigheid",2,stm-02233,"Vredenburger Kreek",""
"Eendragt (Land van)",2,stm-02228,"Perica Kreek","Divisie Boven-Cottica en Perica"
"Eendragt (Land van)",2,stm-02358,"Commetewane Kreek",""
"Frederiksburg",2,stm-00679,"Beneden-Commewijne","Divisie Beneden-Cottica"
"Frederiksburg",2,stm-01299,"Pararakweg","Divisie Para"
"Frederikslust",2,stm-00681,"Warappa Kreek","Divisie Beneden-Cottica"
"Frederikslust",2,stm-02156,"Pararakweg",""
"Geertruidenberg",2,stm-00576,"Beneden-Commewijne","Divisie Beneden-Commewijne"
"Geertruidenberg",2,stm-00725,"Boven-Cottica","Divisie Matapplea"
"Goosen",2,stm-00593,"Matappica Kreek",""
"Goosen",2,stm-01871,"Suriname","Divisie Matapplea"
"Hazard",2,stm-01646,"Nickerierivier","Divisie Nickerie"
"Hazard",2,stm-02155,"Pararakweg",""
"Klein Beekvliet",2,stm-02216,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"Klein Beekvliet",2,stm-02259,"Boven-Commewijne",""
"Kweeklust",2,stm-01481,"Coropina Kreek","Divisie Saramacca"
"Kweeklust",2,stm-01952,"Beneden-Saramacca",""
"L'Esperance",2,stm-01288,"Para Kreek","Divisie Para"
"L'Esperance",2,stm-01439,"Suriname","Divisie Boven-Suriname en Thorarica"
"La Diligence",2,stm-01430,"Suriname","Divisie Boven-Suriname en Thorarica"
"La Diligence",2,stm-01483,"Coropina Kreek","Divisie Para"
"La Paix",2,stm-00647,"Paulus Kreek","Divisie Boven-Suriname en Thorarica"
"La Paix",2,stm-01129,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"La Paix (Land van)",2,stm-02366,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"La Paix (Land van)",2,stm-02375,"Vredenburger Kreek","Divisie Boven-Cottica en Perica"
"Ma Retraite (Land van)",2,stm-02117,"Suriname","Divisie Para"
"Ma Retraite (Land van)",2,stm-02331,"Coropina Kreek","Divisie Para"
"Marienburg",2,stm-00583,"Beneden-Commewijne","Divisie Beneden-Commewijne"
"Marienburg",2,stm-01118,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"Meerzorg",2,stm-00564,"Suriname","Divisie Boven-Suriname en Thorarica"
"Meerzorg",2,stm-00630,"Tapoeripa Kreek","Divisie Matapplea"
"Misgunst",2,stm-00778,"Mot Kreek","Divisie Boven-Cottica en Perica"
"Misgunst",2,stm-01951,"Beneden-Saramacca","Divisie Saramacca"
"Mocha",2,stm-01117,"Para Kreek","Divisie Para"
"Mocha",2,stm-01295,"Pararak Kreek","Divisie Para"
"Moederzorg",2,stm-00520,"Suriname","Divisie Boven-Suriname en Thorarica"
"Moederzorg",2,stm-02247,"Wanica Kreek","Divisie Para"
"Nieuwe Aanleg",2,stm-02088,"Orelana Kreek","Divisie Beneden-Commewijne"
"Nieuwe Aanleg",2,stm-02457,"Beneden-Saramacca","Divisie Saramacca"
"Nooit Gedacht",2,stm-02395,"Wanica Kreek","Divisie Saramacca"
"Nooit Gedacht",2,stm-02493,"Suriname","Divisie Boven-Suriname en Thorarica"
"Osembo",2,stm-00738,"Para Kreek","Divisie Para"
"Osembo",2,stm-02154,"Pararakweg",""
"Patientie",2,stm-01099,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"Patientie",2,stm-02069,"Orelana Kreek","Divisie Beneden-Commewijne"
"Pietersburg",2,stm-01171,"Boven-Cottica","Divisie Boven-Cottica en Perica"
"Pietersburg",2,stm-01723,"Boven-Saramacca",""
"Sara's lust",2,stm-01427,"Suriname","Divisie Boven-Suriname en Thorarica"
"Sara's lust",2,stm-01716,"Boven-Saramacca","Divisie Saramacca"
"Staf Arons",2,stm-01446,"Suriname","Divisie Boven-Suriname en Thorarica"
"Staf Arons",2,stm-02239,"Pad van Wanica",""
"Standvastigheid",2,stm-00812,"Tapoeripa Kreek","Divisie Matapplea"
"Standvastigheid",2,stm-02399,"Nickerierivier",""
"Tulpenburg",2,stm-01331,"Suriname","Divisie Boven-Suriname en Thorarica"
"Tulpenburg",2,stm-02071,"Orelana Kreek","Divisie Beneden-Commewijne"
"Vreeland",2,stm-00637,"Suriname","Divisie Boven-Suriname en Thorarica"
"Vreeland",2,stm-01487,"Tawaycoera Kreek",""
"Watervliet",2,stm-01413,"Suriname","Divisie Boven-Suriname en Thorarica"
"Watervliet",2,stm-02441,"Suriname",""
"Welgevallen",2,stm-00693,"Beneden-Commewijne","Divisie Beneden-Cottica"
"Welgevallen",2,stm-02142,"Suriname",""
"Welgevonden",2,stm-02141,"Suriname",""
"Welgevonden",2,stm-02397,"Tawayarie Kreek","Divisie Saramacca"
"Zeldenrust",2,stm-01096,"Boven-Cottica",""
"Zeldenrust",2,stm-01334,"Suriname","Divisie Boven-Suriname en Thorarica"
"Zoelen",2,stm-00559,"Beneden-Commewijne","Divisie Beneden-Commewijne"
"Zoelen",2,stm-02385,"Boven-Saramacca","Divisie Saramacca"
"Zorgvliet",2,stm-00555,"Beneden-Commewijne","Divisie Beneden-Commewijne"
"Zorgvliet",2,stm-02164,"Boven-Commewijne",""
